Username,Tanggal,Review,Label,review_token,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
ตามสไตล์ JaiSabai,13/04/2023,pukul   di titik pandang matahari terbit  terjadi banyak hujan dan kabut  rindu melihat matahari terbit namun dia tidak menahan diri untuk tidak mencoba melihat ke depan hingga kabut menghilang hampir jam  pagi  langit kembali  ,negatif,"['pukul', 'di', 'titik', 'pandang', 'matahari', 'terbit', 'terjadi', 'banyak', 'hujan', 'dan', 'kabut', 'rindu', 'melihat', 'matahari', 'terbit', 'namun', 'dia', 'tidak', 'menahan', 'diri', 'untuk', 'tidak', 'mencoba', 'melihat', 'ke', 'depan', 'hingga', 'kabut', 'menghilang', 'hampir', 'jam', 'pagi', 'langit', 'kembali']","['pukul', 'di', 'titik', 'pandang', 'matahari', 'terbit', 'terjadi', 'banyak', 'hujan', 'dan', 'kabut', 'rindu', 'melihat', 'matahari', 'terbit', 'namun', 'dia', 'tidak', 'menahan', 'diri', 'untuk', 'tidak', 'mencoba', 'melihat', 'ke', 'depan', 'hingga', 'kabut', 'menghilang', 'hampir', 'jam', 'pagi', 'langit', 'kembali']","['titik', 'pandang', 'matahari', 'terbit', 'hujan', 'kabut', 'rindu', 'matahari', 'terbit', 'menahan', 'mencoba', 'kabut', 'menghilang', 'jam', 'pagi', 'langit']","['titik', 'pandang', 'matahari', 'terbit', 'hujan', 'kabut', 'rindu', 'matahari', 'terbit', 'menahan', 'mencoba', 'kabut', 'menghilang', 'jam', 'pagi', 'langit']","['titik', 'pandang', 'matahari', 'terbit', 'hujan', 'kabut', 'rindu', 'matahari', 'terbit', 'tahan', 'coba', 'kabut', 'hilang', 'jam', 'pagi', 'langit']"
Fariz Abdurahman Fakhri,11/04/2023,bagus   indah,positif,"['bagus', 'indah']","['bagus', 'indah']","['bagus', 'indah']","['bagus', 'indah']","['bagus', 'indah']"
Muhammad Aldino,11/04/2023,pertama kali saya ke gunung bromo saat saya masih kecil untuk pergi berlibur bersama keluarga  saat itu saya baru menyadari kalau ibu saya ternyata bisa menaiki kuda dan memboncengi saya yang masih kecil   ,positif,"['pertama', 'kali', 'saya', 'ke', 'gunung', 'bromo', 'saat', 'saya', 'masih', 'kecil', 'untuk', 'pergi', 'berlibur', 'bersama', 'keluarga', 'saat', 'itu', 'saya', 'baru', 'menyadari', 'kalau', 'ibu', 'saya', 'ternyata', 'bisa', 'menaiki', 'kuda', 'dan', 'memboncengi', 'saya', 'yang', 'masih', 'kecil']","['pertama', 'kali', 'saya', 'ke', 'gunung', 'bromo', 'saat', 'saya', 'masih', 'kecil', 'untuk', 'pergi', 'berlibur', 'bersama', 'keluarga', 'saat', 'itu', 'saya', 'baru', 'menyadari', 'kalau', 'ibu', 'saya', 'ternyata', 'bisa', 'menaiki', 'kuda', 'dan', 'memboncengi', 'saya', 'yang', 'masih', 'kecil']","['kali', 'gunung', 'bromo', 'pergi', 'berlibur', 'keluarga', 'menyadari', 'kuda', 'memboncengi']","['kali', 'gunung', 'bromo', 'pergi', 'berlibur', 'keluarga', 'menyadari', 'kuda', 'memboncengi']","['kali', 'gunung', 'bromo', 'pergi', 'libur', 'keluarga', 'sadar', 'kuda', 'bonceng']"
Imron Ayubi (Yubi),11/04/2023,beberapa kali ke bromo  tempatnya masih tetap menyenangkan  dingin nya ruar biasa  perjalanan malam hari  naik motor ,positif,"['beberapa', 'kali', 'ke', 'bromo', 'tempatnya', 'masih', 'tetap', 'menyenangkan', 'dingin', 'nya', 'ruar', 'biasa', 'perjalanan', 'malam', 'hari', 'naik', 'motor']","['beberapa', 'kali', 'ke', 'bromo', 'tempatnya', 'masih', 'tetap', 'menyenangkan', 'dingin', 'nya', 'ruar', 'biasa', 'perjalanan', 'malam', 'hari', 'naik', 'motor']","['kali', 'bromo', 'tempatnya', 'menyenangkan', 'dingin', 'nya', 'ruar', 'perjalanan', 'malam', 'motor']","['kali', 'bromo', 'tempatnya', 'menyenangkan', 'dingin', 'nya', 'ruar', 'perjalanan', 'malam', 'motor']","['kali', 'bromo', 'tempat', 'senang', 'dingin', 'nya', 'ruar', 'jalan', 'malam', 'motor']"
yus p,11/04/2023,wisata alam kita bisa melihat sun rise,positif,"['wisata', 'alam', 'kita', 'bisa', 'melihat', 'sun', 'rise']","['wisata', 'alam', 'kita', 'bisa', 'melihat', 'sun', 'rise']","['wisata', 'alam', 'sun', 'rise']","['wisata', 'alam', 'sun', 'rise']","['wisata', 'alam', 'sun', 'rise']"
Afek sari istanto,11/04/2023,tempat pertama yg saya kunjungi  tempat wisata ini amazing gaes ,positif,"['tempat', 'pertama', 'yg', 'saya', 'kunjungi', 'tempat', 'wisata', 'ini', 'amazing', 'gaes']","['tempat', 'pertama', 'yg', 'saya', 'kunjungi', 'tempat', 'wisata', 'ini', 'amazing', 'gaes']","['yg', 'kunjungi', 'wisata', 'amazing', 'gaes']","['yg', 'kunjungi', 'wisata', 'amazing', 'gaes']","['yg', 'kunjung', 'wisata', 'amazing', 'gaes']"
Adhi Kautsar97,11/04/2023,hati hati dengan bau belerang disekitar kawah bromo  tetap memakai masker,negatif,"['hati', 'hati', 'dengan', 'bau', 'belerang', 'disekitar', 'kawah', 'bromo', 'tetap', 'memakai', 'masker']","['hati', 'hati', 'dengan', 'bau', 'belerang', 'disekitar', 'kawah', 'bromo', 'tetap', 'memakai', 'masker']","['hati', 'hati', 'bau', 'belerang', 'disekitar', 'kawah', 'bromo', 'memakai', 'masker']","['hati', 'hati', 'bau', 'belerang', 'disekitar', 'kawah', 'bromo', 'memakai', 'masker']","['hati', 'hati', 'bau', 'belerang', 'sekitar', 'kawah', 'bromo', 'pakai', 'masker']"
Keyla Meaza,11/04/2023,ini tempat bgs bgttt,positif,"['ini', 'tempat', 'bgs', 'bgttt']","['ini', 'tempat', 'bgs', 'bgttt']","['bgs', 'bgttt']","['bgs', 'bgttt']","['bgs', 'bgttt']"
Sri Mulyani,11/04/2023,pemandangan yg sangat indah  seperti lukisan,positif,"['pemandangan', 'yg', 'sangat', 'indah', 'seperti', 'lukisan']","['pemandangan', 'yg', 'sangat', 'indah', 'seperti', 'lukisan']","['pemandangan', 'yg', 'indah', 'lukisan']","['pemandangan', 'yg', 'indah', 'lukisan']","['pandang', 'yg', 'indah', 'lukis']"
Brandal Berdasi,11/04/2023,tidak ada kata bosan jika berkunjung ke bromo   karena keindahannya yg sangat menakjubkan yg di ciptakan oleh sang pencipta  ,positif,"['tidak', 'ada', 'kata', 'bosan', 'jika', 'berkunjung', 'ke', 'bromo', 'karena', 'keindahannya', 'yg', 'sangat', 'menakjubkan', 'yg', 'di', 'ciptakan', 'oleh', 'sang', 'pencipta']","['tidak', 'ada', 'kata', 'bosan', 'jika', 'berkunjung', 'ke', 'bromo', 'karena', 'keindahannya', 'yg', 'sangat', 'menakjubkan', 'yg', 'di', 'ciptakan', 'oleh', 'sang', 'pencipta']","['bosan', 'berkunjung', 'bromo', 'keindahannya', 'yg', 'menakjubkan', 'yg', 'ciptakan', 'sang', 'pencipta']","['bosan', 'berkunjung', 'bromo', 'keindahannya', 'yg', 'menakjubkan', 'yg', 'ciptakan', 'sang', 'pencipta']","['bosan', 'kunjung', 'bromo', 'indah', 'yg', 'takjub', 'yg', 'cipta', 'sang', 'cipta']"
Thamrin Schulz,11/04/2023,saya bergidik ketika mengingat kunjungan pertama saya ketika saya masih muda  menaiki tangga ke tepi kawah bersama ayah saya  malam itu gelap gulita dan angin meniupkan asap belerang ke wajah kami  membuatku merasa tercekik  kali ini  p  ,negatif,"['saya', 'bergidik', 'ketika', 'mengingat', 'kunjungan', 'pertama', 'saya', 'ketika', 'saya', 'masih', 'muda', 'menaiki', 'tangga', 'ke', 'tepi', 'kawah', 'bersama', 'ayah', 'saya', 'malam', 'itu', 'gelap', 'gulita', 'dan', 'angin', 'meniupkan', 'asap', 'belerang', 'ke', 'wajah', 'kami', 'membuatku', 'merasa', 'tercekik', 'kali', 'ini', 'p']","['saya', 'bergidik', 'ketika', 'mengingat', 'kunjungan', 'pertama', 'saya', 'ketika', 'saya', 'masih', 'muda', 'menaiki', 'tangga', 'ke', 'tepi', 'kawah', 'bersama', 'ayah', 'saya', 'malam', 'itu', 'gelap', 'gulita', 'dan', 'angin', 'meniupkan', 'asap', 'belerang', 'ke', 'wajah', 'kami', 'membuatku', 'merasa', 'tercekik', 'kali', 'ini', 'p']","['bergidik', 'kunjungan', 'muda', 'tangga', 'tepi', 'kawah', 'ayah', 'malam', 'gelap', 'gulita', 'angin', 'meniupkan', 'asap', 'belerang', 'wajah', 'membuatku', 'tercekik', 'kali', 'p']","['bergidik', 'kunjungan', 'muda', 'tangga', 'tepi', 'kawah', 'ayah', 'malam', 'gelap', 'gulita', 'angin', 'meniupkan', 'asap', 'belerang', 'wajah', 'membuatku', 'tercekik', 'kali', 'p']","['gidik', 'kunjung', 'muda', 'tangga', 'tepi', 'kawah', 'ayah', 'malam', 'gelap', 'gulita', 'angin', 'tiup', 'asap', 'belerang', 'wajah', 'buat', 'cekik', 'kali', 'p']"
Joko Prasetyo,11/04/2023,sungguh indah   menakjubkan,positif,"['sungguh', 'indah', 'menakjubkan']","['sungguh', 'indah', 'menakjubkan']","['sungguh', 'indah', 'menakjubkan']","['sungguh', 'indah', 'menakjubkan']","['sungguh', 'indah', 'takjub']"
Karnael Elisandria,11/04/2023,gunung bromo keren banget,positif,"['gunung', 'bromo', 'keren', 'banget']","['gunung', 'bromo', 'keren', 'banget']","['gunung', 'bromo', 'keren', 'banget']","['gunung', 'bromo', 'keren', 'banget']","['gunung', 'bromo', 'keren', 'banget']"
Lismardiana,11/04/2023,sayangnya sudah terlalu sore kesini jadi tidak naik ke atas,negatif,"['sayangnya', 'sudah', 'terlalu', 'sore', 'kesini', 'jadi', 'tidak', 'naik', 'ke', 'atas']","['sayangnya', 'sudah', 'terlalu', 'sore', 'kesini', 'jadi', 'tidak', 'naik', 'ke', 'atas']","['sayangnya', 'sore', 'kesini']","['sayangnya', 'sore', 'kesini']","['sayang', 'sore', 'kesini']"
Andy Bro,11/04/2023,  gw jatuh cinta,positif,"['gw', 'jatuh', 'cinta']","['gw', 'jatuh', 'cinta']","['gw', 'jatuh', 'cinta']","['gw', 'jatuh', 'cinta']","['gw', 'jatuh', 'cinta']"
Rida Nurrohmah Dwi Putri,11/04/2023,indah bgttt  recomended for comeback  ,positif,"['indah', 'bgttt', 'recomended', 'for', 'comeback']","['indah', 'bgttt', 'recomended', 'for', 'comeback']","['indah', 'bgttt', 'recomended', 'for', 'comeback']","['indah', 'bgttt', 'recomended', 'for', 'comeback']","['indah', 'bgttt', 'recomended', 'for', 'comeback']"
Asep Rosdiana,11/04/2023,bagus banget,positif,"['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']"
